タイトル,bookliststory
麻雀放浪記2020 連載版,混沌としていた戦後の東京――。そこには博打の世界に全てを賭け、憧れを抱く若者たちがいた。これは激闘を繰り広げながらもさまよう彼らの生き様を描いたピカレスクロマン………なのか!??
ロスト失踪者たち【分冊版】,全てを失って逃げこんだ先は新宿の雑踏にある一軒のフリー雀荘。財布の中には小銭しかない。それでも俺は生きることを選択した。ここは戦場だ。戦場で戦わない者は殺されるしかない。
PokerMillions【分冊版】,"ポーカー世界選手権の最高賞金は何と約10億円!! ノーレートギャル雀店の週末店長のアキラが、オーナーの指示で新しくできたカジノバーのヘルプに行くことに。そこで初めて見たポーカーの魅力に取り憑かれ…!?
      …"
パーラー栄通り,「パチンコのホール」という親の仕事を嫌い大企業に勤めていた花咲大吉は、ある日親の仕事を継いでいた兄・寅男が突然事故死してしまったことを知る。親父の「パーラーさかえ」を継いでほしいという頼みを一度は断る大吉だったが地…
パーラー栄通り【合冊版】,「パチンコのホール」という親の仕事を嫌い大企業に勤めていた花咲大吉は、ある日親の仕事を継いでいた兄・寅男が突然事故死してしまったことを知る。親父の「パーラーさかえ」を継いでほしいという頼みを一度は断る大吉だったが地…
7days 13hours,ナンバーワン風俗嬢七海とパチスロとの対決。そして決着は…!?
咲-Saki- re:KING's TILE DRAW,麻雀が嫌いだと話す宮長咲基、そして麻雀に青春をかける原邑和加。麻雀に相対する二人の男子高校生が出会う時、その卓上には奇跡の花が咲く!!　熱き男子たちの青春物語、ここに開幕！
咲-Saki- 画集Ritz Kobayashi illustrations,フルカラー304ページ、極美イラスト250点以上を収録した、連載15周年＆シリーズ累計10，000，000部突破の記念画集!!!　五十嵐あぐり、めきめき、木吉 紗、極楽院櫻子、大和田秀樹による描き下ろしスペシャルイ…
隻眼の鴉,青山広美原作、盛田賢司作画による究極のギャンブル界の死闘。国家予算をも超える巨額マネーを賭けて、勝つのはギャンブラー？それともビジネスマン？勝負の行方は!?
竹書房の日2021記念小冊子　近代麻雀編,『竹書房の日2021』を記念して、竹書房コミックの「今」を詰めこんだ試し読み無料小冊子を、ジャンル別にご用意いたしました！竹書房コミックのスターターブックとして、ぜひご一読ください！■収録作品■『キリンジゲート』塚…
ギャンブル＄シェアハウス,「ギャンブル＄シェアハウス」───。それは、選ばれた人物だけが視聴して”参加”もできるリアリティショー。 ショーに参加する住人たちは全員がギャンブラー。嘘と謀略が支配するシェアハウスで、元天才起業家イシカワは生き残…
安永萬むこうぶち名勝負特集,『むこうぶち』56巻発売記念！「追悼・安永萬」として、安永萬のエピソードを集めた無料小冊子を期間限定で配信！麻雀のオモテもウラも知り尽くした麻雀プロの俺だが、たった一人敵わない男がいる…。そいつが傀（カイ）だ。この…
カケザル,賭けざる者、楽しむべからず…！スタジアムでビールの売り子をしていた女子大生・つくみは、風変わりな青年・御厨と出会う。御厨は試合展開を予言的中させ、試合終了前にスタジアムを去ってしまう。思わず後を追ったつくみは、御厨…
哭きの竜～Genesis～,"2016年、新宿・歌舞伎町にあの男が帰ってきた。闇社会の麻雀士“哭きの竜”ーー命を賭けた勝負でも冷たく鳴き、勝ち上がる男に、極道たちは惚れ抜き、追い求める。そして竜は誰のものにもならなず、闘い続ける……！
    …"
おしりペンペン,上京したて純太がやっと知り合えた女・由美子の趣味は競馬だった！そんな彼女のハートをゲットすべく、彼女と競馬場に足を運ぶが･･･。今ここにまたひとりの馬バカが誕生した。
