タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
恥ずかしがり屋のサラマン娘さん,https://cf.image-cdn.k-manga.jp/cover_200/14/140209/b140209_1_200.jpg,少年漫画,ギャグ・コメディ,あゆか,"巻完620pt
              
              お気に入り：8人","羞恥心の昂ぶりで衣服が燃えちゃう女の子・安達紗良。そんな紗良の想い人は、いつも腹ペコでフリーダムな春日部くん。自由人の春日部くんに振り回されて、毎回あられもない姿になってしまう紗良の明日はどっちだ!?
      …"
賢者ちゃんは悟ってない！,https://cf.image-cdn.k-manga.jp/cover_200/14/140219/b140219_1_200.jpg,少年漫画,ギャグ・コメディ,菅原健二,"巻完620pt
              
              お気に入り：3人",超絶箱入り娘として育てられたせいで、強さは最強ＭＡＸなのに生活力ゼロなゆるふわ女子の賢者ちゃん。その身の回りのお世話をすることになった弟子くんと破天荒な皆さんとのファンタジーコメディ☆
絶対☆アイドル,https://cf.image-cdn.k-manga.jp/cover_200/14/140229/b140229_1_200.jpg,少年漫画,ギャグ・コメディ,ぎん太,"巻完620pt
              
              お気に入り：1人",アイドルを目指す少年・天乃宙は、ちょっとした行き違いから女の子としてスカウトされてしまう！　彼には伝説の存在”絶対アイドル”の資質があるといわれるのだが……？　美少女ユニットの中に、性別を偽って紛れ込んだ少年を見舞…
魔王さまのペロペロ計画,https://cf.image-cdn.k-manga.jp/cover_200/14/140252/b140252_1_200.jpg,少年漫画,ギャグ・コメディ,松林悟,巻完580pt,"「ロリコンフェニックス」の松林悟が贈る、小学校に通うロリっ子魔王と親衛隊（しもべ）が人間界で巻き起こす、兄貴達に見てほしい素晴らしきヘンタイの世界。スク水、メイド、浴衣プレイまである意味全てがある！
       …"
奇想天才ジーニアズ！,https://cf.image-cdn.k-manga.jp/cover_200/14/140262/b140262_1_200.jpg,少年漫画,ギャグ・コメディ,咲竹ちひろ,巻完550pt,"中高一貫の巨大学園――風街学園には、知る人ぞ知る謎の委員会があった……。きらめく才能を持つ“天才”たちを保護し、サポートし、さらに活用(？)する組織……その名も『天才保護委員会』、通称“ジーニアズ”！
      …"
異世界宗教へようこそ！,https://cf.image-cdn.k-manga.jp/cover_200/14/140274/b140274_1_200.jpg,少年漫画,ギャグ・コメディ,咲竹ちひろ,巻完600pt,家族が宗教にどっぷりハマっている以外は平凡な少年である戸田祐。そんな人より少し宗教に詳しいだけの彼が、神様として異世界召喚された!?　異世界の怪しい新興宗教わほわほ教の神となった戸田祐ことトディは、とある事情から、…
朝日奈ひなたは瀬賀くんが好き,https://cf.image-cdn.k-manga.jp/cover_200/14/140275/b140275_1_200.jpg,少年漫画,ギャグ・コメディ,ぬっく,"巻完570pt
              
              お気に入り：1人",ちんまりメガネの女の子・朝日奈ひなたは、同級生の瀬賀くんが大好き！毎日ラブラブアタックを仕掛けるも、背が高くて無口な瀬賀くんにかわされるばかりで…。トキメキ満載の新たな4コマが今開幕♪
漆葉さららは恋などしないっ,https://cf.image-cdn.k-manga.jp/cover_200/14/140287/b140287_1_200.jpg,少年漫画,ギャグ・コメディ,ぷよ,"巻完580pt
              
              お気に入り：11人",漆葉さららは、告白されすぎて「恋愛」に失望している女の子。無人の教室でストレスが爆発してた所を、心石小道に目撃されてしまい…心石君、まさか私を――！？ ぷよが贈る、恋なんてしないラブコメディ！
白井式プチ三国志 続・GOGO玄徳くん!!,https://cf.image-cdn.k-manga.jp/cover_200/14/140289/b140289_1_200.jpg,少年漫画,ギャグ・コメディ,白井恵理子,巻514pt,三国志の武将がこんなにフレンドリー！？ 三国志最笑4コマ決定版！
僕の彼女がマジメ過ぎる処女ビッチな件,https://cf.image-cdn.k-manga.jp/cover_200/14/140311/b140311_1_200.jpg,少年漫画,ギャグ・コメディ,松本ナミル,"巻完580pt
              
              お気に入り：7人",「では、手始めに四十八手を全て暗記いたします。」平凡な高校生・篠崎遥には、憧れの存在がいた。それは容姿端麗・成績優秀なクラス委員長の香坂秋穂。彼女にダメ元で告白した篠崎は、意外にもOKの返事をもらう。だが、完璧な彼…
白井版三国志遊戯 続 STOP劉備くん!,https://cf.image-cdn.k-manga.jp/cover_200/14/140326/b140326_1_200.jpg,少年漫画,ギャグ・コメディ,白井恵理子,巻514pt,三国志の世界を独特のセンスと、むちゃむちゃ個性的でフツーなキャラクター達で描いた白井式三国志遊戯第2弾。
宮本さん本気でヤメてくださいっ,https://cf.image-cdn.k-manga.jp/cover_200/14/140327/b140327_1_200.jpg,少年漫画,ギャグ・コメディ,いわさきまさかず,巻完570pt,この地球のどこかにある小国『モモノフ王国』。その国のアプリコット姫は、自分を「王子」と称して世界一の王様を目指す困ったちゃん。そんな王子ちゃんに超下品だけど優秀な執事・宮本が仕えることになったのだが...？　いわさ…
ゆうきまさみ初期作品集 early days,https://cf.image-cdn.k-manga.jp/cover_200/14/140350/b140350_1_200.jpg,少年漫画,ギャグ・コメディ,ゆうきまさみ,巻完500pt,"『究極超人あ～る』や『機動警察パトレイバー』などで多くの漫画ファンを魅了してきた、ゆうきまさみの初期作品集が登場。『アッセンブル・インサート』、『ヤマトタケルの冒険』など、原点といえる初期作品多数掲載
      …"
万能魔薬はありまセン！,https://cf.image-cdn.k-manga.jp/cover_200/14/140351/b140351_1_200.jpg,少年漫画,ギャグ・コメディ,ぴかお,"巻570pt
              
              お気に入り：1人",ある日突然、風邪引きの異世界少女が現れたら……あなたならどうする!?　答えは「ネギを尻に入れる」――「なら、殺すが良い」で大騒動！　これは、万能魔薬（エリクサー）のない世界で病に立ち向かう、ちょっぴりエッチな回復系…
わんにゃん戦国BASARA,https://cf.image-cdn.k-manga.jp/cover_200/14/140357/b140357_1_200.jpg,少年漫画,ギャグ・コメディ,種十号,巻780pt,「戦国BASARAマガジン」で大人気のギャグコミックがついに単行本化！犬猫化した「戦国BASARA」シリーズの武将たちが繰り広げる抱腹絶倒の縄張り争いに注目です。
女子高生VS,https://cf.image-cdn.k-manga.jp/cover_200/14/140362/b140362_1_200.jpg,少年漫画,ギャグ・コメディ,氷川へきる,"巻完570pt
              
              お気に入り：1人",『ぱにぽに』の氷川へきる、奇想天外の4コマ最新コミックス!!　オカシナオカシナ女子高生4コマ……かと思いきや、実はオカシナアイドル4コマ！！アイドルは世界を救う！氷川節炸裂のトンデモ4コマ！
花部長(52)と心乃ちゃん(17),https://cf.image-cdn.k-manga.jp/cover_200/14/140396/b140396_1_200.jpg,少年漫画,ギャグ・コメディ,吟華,巻完580pt,趣味無し、バツイチ、持病持ちという暗黒面のフォースを抱えた人生崖っぷちサラリーマン・花誠之介（52）は、ある日、ゲーセンで不思議な女子高生・心乃（17）と出会う。エキセントリックな彼女により、花ちゃん（心乃命名）達…
名探偵部この後すぐ！,https://cf.image-cdn.k-manga.jp/cover_200/14/140398/b140398_1_200.jpg,少年漫画,ギャグ・コメディ,アサダニッキ,"巻560pt
              
              お気に入り：1人",学園で起こる難事件の数々に立ち向かう正義の執行者というのは建前。主な活動は放課後のおしゃべり、それが名探偵部！　名探偵気取りの男子高校生３人がゆるゆる推理を繰り広げちゃいます☆
大奥チャカポン！,https://cf.image-cdn.k-manga.jp/cover_200/14/140400/b140400_1_200.jpg,少年漫画,ギャグ・コメディ,まいたけ,巻完570pt,時は現代、ところはお江戸。 今とはちょっと違った日本――。天下泰平の大奥に、ある日突然やってきたのは、金髪碧眼の謎少女こと、ソラ・ニャンダー！ 見た目は明らかに外人なのに 「日本人」 と言い張るソラに対し、いろいろ…
機動戦士ぶよガンダム,https://cf.image-cdn.k-manga.jp/cover_200/14/140413/b140413_1_200.jpg,少年漫画,ギャグ・コメディ,唐沢なをき,"巻完560pt
              
              お気に入り：1人","でぶジオンのぶよザクが現れた。ぶよアムロがぶよガンダムに乗りこむが、太っていてコクピットに入れない…。アムロがシャアが、セイラさんがみんなみんな太っている、重く太くそして暑苦しいガンダムパロディ漫画。
      …"
藤井おでこげきじょー,https://cf.image-cdn.k-manga.jp/cover_200/14/140422/b140422_1_200.jpg,少年漫画,ギャグ・コメディ,藤井おでこ,巻800pt,Twitterが騒然としたコミック「硬すぎた桃太郎」を手掛けた、藤井おでこによるオムニバスギャグ漫画がついに単行本化！ 我が道を行く“わけわからん”作品をただ楽しむだけの１冊です。我が道を行く漫画家・藤井おでこがお…
氷川へきる作品集 TG天使ジャイ子ちゃんDX,https://cf.image-cdn.k-manga.jp/cover_200/14/140433/b140433_1_200.jpg,少年漫画,ギャグ・コメディ,氷川へきる,巻429pt,4コママンガ『TG天使ジャイ子ちゃん』やエンドセクターイラスト『TG家族』など、連載開始から現在に至るまで、7年間の作品を余すところなく掲載した氷川へきる作品集がついに登場！　氷川先生と担当編集者による解説付きで、…
陽下3姉妹はかまってほしい,https://cf.image-cdn.k-manga.jp/cover_200/14/140464/b140464_1_200.jpg,少年漫画,ギャグ・コメディ,ねこ末端,"巻完570pt
              
              お気に入り：3人",家では水着な長女・珠璃。天然巨乳な次女・美乃里。爬虫類ラブな三女・杏梨。そんな３人と“きょうだい”になった、アイドルオタクな思春期男子。陽下さんちの屋根の下では、今日もえっちな事件が起こる！
野獣先生のメイドさん,https://cf.image-cdn.k-manga.jp/cover_200/14/140487/b140487_1_200.jpg,少年漫画,ギャグ・コメディ,くりもとぴんこ,巻完580pt,"日々バイトに明け暮れる少女・小森みみ子は、ある日、野獣のような見た目のクラスメイト・大神有人に呼び出される。半泣きのみみ子に手渡された一枚の紙切れ、そこには「メイド募集！！」と書かれており…!?
         …"
魔法少女リリカルなのはマテリアル娘。ＩＮＮＯＣＥＮＴ,https://cf.image-cdn.k-manga.jp/cover_200/14/140488/b140488_1_200.jpg,少年漫画,ギャグ・コメディ,榊蒼十郎,巻完600pt,シュテル、レヴィ、ディアーチェ、ユーリが帰ってきた！　しかも、「ＩＮＮＯＣＥＮＴ」仕様の最新版。デュエリストで中学生な彼女達の活躍をご覧アレ！
機動戦士ガンダムさん ニッポン☆再発見,https://cf.image-cdn.k-manga.jp/cover_200/14/140508/b140508_1_200.jpg,少年漫画,ギャグ・コメディ,大和田秀樹,"巻560pt
              
              お気に入り：1人",「ガンダムさん」のシャアとララァが、独自の視線でご当地を紹介！　人気のことわざマンガ「ことわざガンダムさん」も多数収録！
性転換から知る保健体育 ～元男が男女の違いについて語る件～,https://cf.image-cdn.k-manga.jp/cover_200/14/140527/b140527_1_200.jpg,少年漫画,ギャグ・コメディ,小西真冬,"巻1000pt
              
              お気に入り：3人","両性を文字通り“知る”著者ならではの目線から、トイレの問題、見た目の変化などなど…知ってるようで知らなかった男女の違いが白日の下に!? 実体験を交え描かれるリアルな“保健体育”エッセイの誕生!!
         …"
恋愛経験値ゼロの乙女さん,https://cf.image-cdn.k-manga.jp/cover_200/14/140534/b140534_1_200.jpg,少年漫画,ギャグ・コメディ,ゆうじこうじ,"巻630pt
              
              お気に入り：2人",ニコニコ漫画で話題沸騰のニヤニヤラブコメディが書籍化！恋人いない歴＝年齢の高校教師・乙女さん。年下で幼なじみの高校生・ヒロのことを、異性として意識し始めてたからさあタイヘン！？恋に奥手な社会人のお姉さんと、幼なじみ…
広島妹　おどりゃー！　もみじちゃん！！,https://cf.image-cdn.k-manga.jp/cover_200/14/140547/b140547_1_200.jpg,少年漫画,ギャグ・コメディ,つくしろ夕莉,"巻完580pt
              
              お気に入り：1人","東京在住のひとっり子・日之丸一都に新しくできた妹・もみじは、生粋の広島っ娘だった!? 文化の違いに聞き慣れない方言、さらに素直になれない性格なもみじと一都は兄として距離を縮めることはできるのか!?
        …"
魔王が宿屋をやっていぬ。,https://cf.image-cdn.k-manga.jp/cover_200/14/140562/b140562_1_200.jpg,少年漫画,ギャグ・コメディ,吉野貝,"巻完600pt
              
              お気に入り：1人",村はずれの小さな宿屋「ホテルニューオーイヌ」。今日も旅の冒険者さんが疲れた体を休めにやってきます！？
廃人様のエンドコンテンツ,https://cf.image-cdn.k-manga.jp/cover_200/14/140564/b140564_1_200.jpg,少年漫画,ギャグ・コメディ,松林悟,巻完560pt,"「オンラインＲＰＧ」それは多くの人々が冒険を楽しむ娯楽である。だが、遊びではすまない奴らがいた！ゲームに命を賭ける彼らはこう呼ばれる「廃人」と。今のネット社会に警笛を鳴らす、ロリコン変態ギャグ漫画!?
      …"
劉備くん’08春 桃園畑でつかまえて,https://cf.image-cdn.k-manga.jp/cover_200/14/140612/b140612_1_200.jpg,少年漫画,ギャグ・コメディ,白井恵理子,巻514pt,三国志の４コママンガといえば、この人。白井恵理子の最新単行本登場！　劉備・関羽・張飛・曹操・孔明・孫権・周瑜ら三国志ファンにはおなじみの面々が、なぜか現代日本の話題に通じているということで行われる、ほんわか脱力４コ…
生形くんのよこしまな日常,https://cf.image-cdn.k-manga.jp/cover_200/14/140621/b140621_1_200.jpg,少年漫画,ギャグ・コメディ,澄田佑貴,巻580pt,父親の命令で「辺帝高校」に転校することになった、大財閥の御曹司・生形純。だが、そこは多種多様な『アブノーマルズ』が集められた逃げ場のない孤島だった――。一癖も二癖もある特殊性癖持ちの面々に翻弄される日々を過ごしなが…
情けない僕らの色恋模様,https://cf.image-cdn.k-manga.jp/cover_200/14/140649/b140649_1_200.jpg,少年漫画,ギャグ・コメディ,茅なや,巻完580pt,姉の持っていた少女漫画をきっかけに、甘酸っぱい青春に憧れる高校生・不破叶。幼馴染の赤染愛司とともに日々、彼女を作ろうと努力するのだが、空回りの連続で牛歩気味…！？ 一方ある日を境に、不破に片思い中のクラスメイト・内…
ラブライブ！サンシャイン!! コミックアンソロジー　Sweet Lily,https://cf.image-cdn.k-manga.jp/cover_200/14/140653/b140653_1_200.jpg,少年漫画,ギャグ・コメディ,矢立肇,巻650pt,甘酸っぱくて、せつなくて、でも幸せ感じる『ラブライブ！サンシャイン!!』アンソロジーが登場♪いつもと違うみんなをお楽しみあれ！
学園BASARA ～学祭乱闘編～,https://cf.image-cdn.k-manga.jp/cover_200/14/140656/b140656_1_200.jpg,少年漫画,ギャグ・コメディ,也,巻980pt,"『戦国BASARA』シリーズに登場する武将たちが、戦場から学園を舞台にして大騒ぎするアンソロジー第8弾！　今回は学園祭で政宗、幸村、家康、三成、左近、勝家をはじめとするおなじみの武将たちが大暴れ!?
       …"
蒲田魔女,https://cf.image-cdn.k-manga.jp/cover_200/14/140658/b140658_1_200.jpg,少年漫画,ギャグ・コメディ,かずといずみ,"巻完760pt
              
              お気に入り：1人",乙女の願いを叶えてくれる、という都市伝説。ここ、東京都蒲田では伝説は真実だった!!願いを叶える魔女、蒲田魔女との出会いはアナタを戦慄の世界へ……ではなく、アナタの心をほっこり温かくしますっ!!
劉備くん　それゆけ赤壁オリンピック,https://cf.image-cdn.k-manga.jp/cover_200/14/140664/b140664_1_200.jpg,少年漫画,ギャグ・コメディ,白井恵理子,巻514pt,三国志をテーマとした脱力系のほほん4コマの旗手・白井恵理子の最新作は、やっぱり『劉備くん』！！　今度は赤壁の戦い…というか赤壁でオリンピック。魏・呉・蜀と入り乱れて、曹操・孫権・劉備らが平和の祭典を行う―――って、…
わくわくろっこモーション,https://cf.image-cdn.k-manga.jp/cover_200/14/140671/b140671_1_200.jpg,少年漫画,ギャグ・コメディ,大沖,巻完780pt,寂れかけた 「ひしゃく商店街」 の会長に任命されてしまった女子高生 「ろっこ」 が、冴えない店々を救うために立ち上がる！おじさん成分高めでおくる地域活性コメディ、待望の第1巻。
猫も、オンダケ,https://cf.image-cdn.k-manga.jp/cover_200/14/140708/b140708_1_200.jpg,少年漫画,ギャグ・コメディ,和田ラヂヲ,巻900pt,愛媛県松山市に住む恩田家に、ある日猫が一匹やってきた―――。誰しもがその昔に経験したような懐かしさ、そして今でもそれが続いているような家族とのたわいも無い心像風景――。なのにジーンと沁みて、くすっと笑えるこの世界こ…
世界で一番おっぱいが好き！,https://cf.image-cdn.k-manga.jp/cover_200/14/140733/b140733_1_200.jpg,少年漫画,ギャグ・コメディ,昆布わかめ,"巻600pt
              
              お気に入り：16人","巷で噂のイケメン女子・千秋が好きなもの。それは…おっぱいです。 「今日も最高のおっぱいだね！」「今日も最低の挨拶だな」 おっぱい大好きイケメン女子×美乳ツンデレ女子の、ちょっぴりおバカな百合コメディ！
      …"
貞子さんとさだこちゃん,https://cf.image-cdn.k-manga.jp/cover_200/14/140742/b140742_1_200.jpg,少年漫画,ギャグ・コメディ,津々巳あや,"巻完680pt
              
                  
                
                4.0（1件）
              
              お気に入り：7人",映画「貞子」のスピンオフコミックが登場！ 本編では活躍する場面が少ない貞子自身が、じつはあんなことやこんなことをしていた!? 貞子視点で送る新しいギャグショートコメディを、とくとご覧あれ！ いままで見たことのない貞…
俺んちのメイドさん,https://cf.image-cdn.k-manga.jp/cover_200/14/140745/b140745_1_200.jpg,少年漫画,ギャグ・コメディ,大原ロロン,"巻完600pt
              
              お気に入り：4人","ある日帰宅するとメイド服を着た同級生の君嶋サラの姿が。なんとサラは俺の家のメイドとして住み込みで働くことになったらしく…!?　真面目×メイド、執事×お嬢様などニヤニヤが止まらないメイドさんコメディ!
       …"
ファンタシースターオンライン2　es,https://cf.image-cdn.k-manga.jp/cover_200/14/141046/b141046_1_200.jpg,少年漫画,ギャグ・コメディ,ぬまこ,巻完850pt,『PSO2es』プレイヤーズサイトで掲載された、公式４コマ「うえぽの！」と、裏公式４コマ「うえぽの！テイスティ」をまとめて収録。※この電子版に「うえぽのメモリ」は付いていません。
ガールズフィスト,https://cf.image-cdn.k-manga.jp/cover_200/14/141050/b141050_1_200.jpg,少年漫画,ギャグ・コメディ,木瓜庵,巻完620pt,泣き虫なコミュ症──パンクロックで叫ぶ!?クール優等生ながら超コミュ症の高校１年生・奈川芳野は、ある日、とあるロックバンドのライブ演奏に大きな衝撃を受ける。今までになく熱い想いが募った芳野は、ライブを偶然一緒に観て…
Charlotte The 4コマ,https://cf.image-cdn.k-manga.jp/cover_200/14/141059/b141059_1_200.jpg,少年漫画,ギャグ・コメディ,こもわた遙華,"巻完780pt
              
              お気に入り：1人","麻枝准が全話脚本を担当するオリジナルTVアニメ『Charlotte』のハイテンション４コマ第１巻！　乙坂はよりゲスく、友利はさらに容赦なく!?　青春を暴走気味に全力疾走する、能力者たちの愉快な学園生活が開幕です！
…"
ラブライブ！ コミックアンソロジー,https://cf.image-cdn.k-manga.jp/cover_200/14/141078/b141078_1_200.jpg,少年漫画,ギャグ・コメディ,公野櫻子,巻850pt,『ラブライブ！』のコミックアンソロジーが登場！　カラーイラストは武田弘光、橘由宇、浜弓場双。音乃夏、清瀬赤目、カイシンシ、凪庵など10名の作家陣がμ'sメンバーのストーリーを描きます。
ちみごっどいーたー,https://cf.image-cdn.k-manga.jp/cover_200/14/141083/b141083_1_200.jpg,少年漫画,ギャグ・コメディ,バンダイナムコゲームス,巻570pt,【ちっちゃくなった『GOD EATER 2』キャラクターたちが大暴れ！】大人気ゲーム『GE2』のキャラクターたちによる、にぎやかな日常。抱腹絶倒！ハイテンション★公式チビキャラギャグコミック！
Gu-Guガンモ,https://cf.image-cdn.k-manga.jp/cover_200/1/14139/b14139_1_200.jpg,少年漫画,ギャグ・コメディ,細野不二彦,"巻完420pt
              
              お気に入り：16人",トリであってトリでなく、人語を解すれどヒトでもなし。平凡な家庭にまいこんだニワトリモドキの居候、その名はガンモ。さて奴の実体は！？小学三年生の半平太が謎の生物ガンモと過ごす、ドタバタでハチャメチャな一年間の思い出の…
まえせつ！,https://cf.image-cdn.k-manga.jp/cover_200/14/141427/b141427_1_200.jpg,少年漫画,ギャグ・コメディ,神無月羽兎,巻完610pt,"お笑い芸人を目指す若き乙女たち北風ふぶき、凩まふゆ、新谷りん、朝生祇なゆたは日夜バイトに明け暮れながらも一生懸命にネタの練習に励んでいる。 笑いでみんなを幸せに！みんなの幸せで私たちも幸せになる!!
       …"
兄ちゃんの弟,https://cf.image-cdn.k-manga.jp/cover_200/14/141457/b141457_1_200.jpg,少年漫画,ギャグ・コメディ,桜場コハル,"巻600pt
              
              お気に入り：3人",『みなみけ』桜場コハル、最新作! 姉妹の次は、兄弟!? マスクをかぶった兄ちゃんと迷惑こうむる弟のスクールライフコメディ! やっぱり女の子もたくさん出るらしい…!いたって普通の男子高校生ジロー。唯一普通じゃないのは…
2万光年翔んで新潟,https://cf.image-cdn.k-manga.jp/cover_200/14/141607/b141607_1_200.jpg,少年漫画,ギャグ・コメディ,魔夜峰央,"巻完1300pt
              
                  
                
                2.5（2件）
              
              お気に入り：3人",「新潟とは文明から取り残された未開のへき地である!」『翔んで埼玉』の魔夜峰央が描くもう一つの知られざる「地方ディス漫画」がついに刊行!本作は1991年に発表された「目玉のマッチャン」を「2万光年翔んで新潟」に改題し…
両国花錦闘士,https://cf.image-cdn.k-manga.jp/cover_200/14/141608/b141608_1_200.jpg,少年漫画,ギャグ・コメディ,岡野玲子,巻完1900pt,スポ根度ゼロ? 相撲コメディの決定版! 汗なし根性なしロマンスあり?等身大の力士たちが土俵の外で切磋琢磨したり青春を謳歌する、画期的な相撲コメディが豪華決定版で復刻! 四半世紀以上前に描かれたとは思えない出色の相撲…
くろのロワイヤル 完全版,https://cf.image-cdn.k-manga.jp/cover_200/14/141785/b141785_1_200.jpg,少年漫画,ギャグ・コメディ,木下由一,"巻420pt
              
              お気に入り：1人",蘇った魔女っコメ!上下巻合わせてたっぷり451ページ。最初から最後まで、色んなくろのに出会えるメモリアル刊行!!『くろのロワイヤル おはよう』ではページ数の関係でまるごと削られたドイツっ子「ミルヒ」の物語もしっかり…
ゲーセン少女と異文化交流,https://cf.image-cdn.k-manga.jp/cover_200/14/141852/b141852_1_200.jpg,少年漫画,ギャグ・コメディ,安原宏和,"巻660pt
              
              お気に入り：35人","ゲーセンでバイト中の主人公・草壁蓮司は、ひょんなことから英国少女のリリーと出会い、なぜだか交換日記をする仲に!? 天真爛漫なリリーに振り回される蓮司だが、果たしてこの異文化交流は友情か、それとも……？
      …"
波打際のむろみさん 地元版,https://cf.image-cdn.k-manga.jp/cover_200/14/141973/b141973_1_200.jpg,少年漫画,ギャグ・コメディ,名島啓二,"巻完600pt
              
              お気に入り：1人",『波打際のむろみさん』6年ぶりの新作! 福岡観光の新必読書、爆誕!? 博多弁人魚が地元をご紹介!!電子版では原稿をカラーで収録!『波打際のむろみさん』6年ぶりの新作! 福岡観光と名産品のすべてが分かる新必読書、爆誕…
女装してオフ会に参加してみた。,https://cf.image-cdn.k-manga.jp/cover_200/14/142315/b142315_1_200.jpg,少年漫画,ギャグ・コメディ,くらの,"巻600pt
              
              お気に入り：47人",仲良し4人組と月に一度のスイーツオフ会に参加しているココア♪ でも実は彼女…性別を偽り、女装して参加しているのです!ある日、憧れの女性・オペラさんに女装男子ということがバレてしまったから、さぁ大変!!4人の関係はど…
そのヲタク、元殺し屋。,https://cf.image-cdn.k-manga.jp/cover_200/14/142468/b142468_1_200.jpg,少年漫画,ギャグ・コメディ,Ko-dai,"巻640pt
              
              お気に入り：6人",ヲタク文化に魅せられ、生きる意味を見つけたイケメン殺し屋が、のんびりヲタクライフを謳歌するためすべてを捨てて来日！？ 追手のヴィヴィアナの魔の手を逃れ、無事日本で平和にヲタ活が出来るのか…！？
ハピエル,https://cf.image-cdn.k-manga.jp/cover_200/14/142780/b142780_1_200.jpg,少年漫画,ギャグ・コメディ,平ますお,"巻完600pt
              
              お気に入り：16人",学校からの下校途中、トラックに轢かれた女子高生・サヤは昏睡状態から回復して以来、奇妙な美少女の姿が見えるように。サヤにだけ見えるその少女・ハピエルは、学校内を好き放題に闊歩し、セクハラ＆パワハラを次々繰り出す…とん…
神たま,https://cf.image-cdn.k-manga.jp/cover_200/14/142871/b142871_1_200.jpg,少年漫画,ギャグ・コメディ,曽山一寿,巻420pt,『でんぢゃらすじーさん』曽山先生最新作！　物語の舞台は、”おいのりをすると、願いをなんでもかなえてくれる”と言われている「玉神社」。　運動会で早く走れるようになりたい少年・カケルが神社でお祈りすると、そこに現れたの…
ゾゾゾ ゾンビーくんZ,https://cf.image-cdn.k-manga.jp/cover_200/14/142875/b142875_1_200.jpg,少年漫画,ギャグ・コメディ,ながとしやすなり,巻420pt,不死身のゾンビギャグまんが奇蹟の復活　自分の大腸をお腹から取り出して縄跳びして笑える！そんなゾンビはコイツだけ。　全世界のゾンビファン＆ゾンビが苦手なあなたも笑えるギャグまんが、復活ラインナップは下記となりますゾゾ…
家庭教師の岸騎士です。,https://cf.image-cdn.k-manga.jp/cover_200/14/142888/b142888_1_200.jpg,少年漫画,ギャグ・コメディ,奥嶋ひろまさ,"巻600pt
              
              お気に入り：10人",バリバリのヤンキー・トオルの前に現れたのは、容姿端麗なスーパー家庭教師・岸騎士(きしナイト)先生!!　キシキシ先生によるあま～いお勉強の時間、始まりです!
異世界行ったら、すでに妹が魔王として君臨していた話。,https://cf.image-cdn.k-manga.jp/cover_200/14/142928/b142928_1_200.jpg,少年漫画,ギャグ・コメディ,根田啓史,"巻250pt
              
              お気に入り：11人",異世界行ったら、なんと２年前に失踪した妹が魔王として君臨していた！！最強にかわいくて、最強にワガママで、ちょっと寂しがり屋な妹の覇道の先にあるものは…！？
名取さな 公式同人誌 そこまで薄くはない本,https://cf.image-cdn.k-manga.jp/cover_200/14/143263/b143263_1_200.jpg,少年漫画,ギャグ・コメディ,名取さな,"巻完1600pt
              
              お気に入り：2人",人気を博した『名取さな 公式同人誌 そこまで薄くはない本』を電子書籍へほぼほぼリコンバート！紙派のせんせえたちも、出先で読めるように永久保存版な一冊です!!※紙版付録のトレーディングカードはついていません。予めご了…
膳所くんと長浜さん,https://cf.image-cdn.k-manga.jp/cover_200/14/143305/b143305_1_200.jpg,少年漫画,ギャグ・コメディ,川村拓,"巻640pt
              
              お気に入り：4人",大好き「だから」絶対に別れたくない彼女・長浜、大好き「だけど」自信がなさすぎて彼女と別れたい彼氏、膳所。お互いに好きなんだけど空回りばっかりしちゃうカップルによる凸凹ラブコメ！
大罪竜なんて大嫌い！,https://cf.image-cdn.k-manga.jp/cover_200/14/143308/b143308_1_200.jpg,少年漫画,ギャグ・コメディ,兎月あい,"巻完640pt
              
              お気に入り：3人",――誕生と同時に大罪を犯したこいつはもちろん自分の罪などわかっていないオレから全てを奪ったことも来年、桜が見られないことさえも―――。新鋭・兎月あいが描く監獄カップリングラブコメディ！
クソザコちょろイン西賀蜂,https://cf.image-cdn.k-manga.jp/cover_200/14/143609/b143609_1_200.jpg,少年漫画,ギャグ・コメディ,kamatama,"巻580pt
              
              お気に入り：7人",この後輩、アホの子につきッ！ウザ絡みするけどクソ雑魚メンタルッ！！　後輩女子の西賀は、構ってほしいのか東間にいつもつきまといマウントを取ろうとするが……。最後はいつも軽くあしらわれて涙目にッ!
はたらく細胞WHITE,https://cf.image-cdn.k-manga.jp/cover_200/14/143661/b143661_1_200.jpg,少年漫画,ギャグ・コメディ,蟹江鉄史,"巻600pt
              
              お気に入り：63人",白血球（好中球）さんたちのもとに、後輩がやってきた！？免疫細胞としてはまだまだ半人前の桿状核球くんの指導係となったのは、本編でもおなじみ1146さん＆ズッ友な同僚たち。個性豊かな彼らの波乱万丈な日々を描く「はたらく…
うそつきアンドロイド,https://cf.image-cdn.k-manga.jp/cover_200/14/143689/b143689_1_200.jpg,少年漫画,ギャグ・コメディ,阿東里枝,"巻完524pt
              
              お気に入り：12人",Twitterの覇者である阿東里枝による初の週刊少年誌連載。緊張しいで人前では無表情の女子高生 渡嘉敷ゆずは同じクラスのロボット大好きな元気少年・西表に惚れていた。彼の気を引くために自らアンドロイドとうそをつき、愛…
りんちゃんは据え膳したい,https://cf.image-cdn.k-manga.jp/cover_200/14/143764/b143764_1_200.jpg,少年漫画,ギャグ・コメディ,澄田佑貴,"巻640pt
              
              お気に入り：15人",アラサーの美術教師・小林と、学校でも人気の美少女・りんちゃん。接点がなさそうな二人には、実はある秘密があって…!?アラサー教師×天然匂わせJKのナイショな『おあずけ』ラブコメ！
